Date,Currency Pair,Long Positions,Short Positions
2023-05-07,EUR/USD,114413,100225
2023-05-07,GBP/USD,62014,128252
2023-05-07,USD/JPY,91349,94040
2023-05-07,AUD/USD,146729,101898
2023-05-07,USD/CAD,53709,76525
2023-05-07,USD/CHF,138696,69785
2023-05-07,NZD/USD,109161,81716
2023-05-07,EUR/JPY,92092,102272
2023-05-07,GBP/JPY,97268,139069
2023-05-07,EUR/GBP,118808,72990
2023-05-14,EUR/USD,50314,132828
2023-05-14,GBP/USD,52028,74332
2023-05-14,USD/JPY,124843,55708
2023-05-14,AUD/USD,75636,123171
2023-05-14,USD/CAD,66208,113840
2023-05-14,USD/CHF,122978,106632
2023-05-14,NZD/USD,122249,101157
2023-05-14,EUR/JPY,68947,58309
2023-05-14,GBP/JPY,127104,69547
2023-05-14,EUR/GBP,132092,103081
2023-05-21,EUR/USD,71426,75867
2023-05-21,GBP/USD,137499,125943
2023-05-21,USD/JPY,140279,97897
2023-05-21,AUD/USD,82518,70742
2023-05-21,USD/CAD,64797,82407
2023-05-21,USD/CHF,96862,47555
2023-05-21,NZD/USD,125566,123101
2023-05-21,EUR/JPY,110328,100247
2023-05-21,GBP/JPY,102809,49797
2023-05-21,EUR/GBP,88566,112818
2023-05-28,EUR/USD,132700,43822
2023-05-28,GBP/USD,128201,127578
2023-05-28,USD/JPY,137630,99316
2023-05-28,AUD/USD,96319,128781
2023-05-28,USD/CAD,127464,107739
2023-05-28,USD/CHF,124565,94183
2023-05-28,NZD/USD,98899,110316
2023-05-28,EUR/JPY,103901,119284
2023-05-28,GBP/JPY,92671,126772
2023-05-28,EUR/GBP,81649,138661
2023-06-04,EUR/USD,121180,105251
2023-06-04,GBP/USD,74635,91720
2023-06-04,USD/JPY,123712,106182
2023-06-04,AUD/USD,120097,128424
2023-06-04,USD/CAD,120234,97339
2023-06-04,USD/CHF,70222,64712
2023-06-04,NZD/USD,128251,128309
2023-06-04,EUR/JPY,118104,94905
2023-06-04,GBP/JPY,120988,54701
2023-06-04,EUR/GBP,77813,138095
