Currency,Date,InflationRate
CHF,5/31/2023,7.82
CHF,6/30/2023,7.49
CHF,7/31/2023,1.65
CHF,8/31/2023,1.93
CHF,9/30/2023,9.61
CHF,10/31/2023,8.91
CHF,11/30/2023,4.17
CHF,12/31/2023,9.71
CHF,1/31/2024,4.53
CHF,2/29/2024,6.82
CHF,3/31/2024,1.9
CHF,4/30/2024,0.64
CHF,5/31/2024,7.22
CHF,6/30/2024,4.87
CHF,7/31/2024,2.36
CHF,8/31/2024,8.49
CHF,9/30/2024,4.8
CHF,10/31/2024,0.64
CHF,11/30/2024,8.98
CHF,12/31/2024,3.07
CHF,1/31/2025,6.6
CHF,2/28/2025,8.69
CHF,3/31/2025,1.27
CHF,4/30/2025,4.9
