Currency,Date,InflationRate
GBP,5/31/2023,7.82
GBP,6/30/2023,7.49
GBP,7/31/2023,1.65
GBP,8/31/2023,1.93
GBP,9/30/2023,9.61
GBP,10/31/2023,8.91
GBP,11/30/2023,4.17
GBP,12/31/2023,9.71
GBP,1/31/2024,4.53
GBP,2/29/2024,6.82
GBP,3/31/2024,1.9
GBP,4/30/2024,0.64
GBP,5/31/2024,7.22
GBP,6/30/2024,4.87
GBP,7/31/2024,2.36
GBP,8/31/2024,8.49
GBP,9/30/2024,4.8
GBP,10/31/2024,0.64
GBP,11/30/2024,8.98
GBP,12/31/2024,3.07
GBP,1/31/2025,6.6
GBP,2/28/2025,8.69
GBP,3/31/2025,1.27
GBP,4/30/2025,4.9
