Currency,Date,InflationRate
JPY,5/31/2023,7.82
JPY,6/30/2023,7.49
JPY,7/31/2023,1.65
JPY,8/31/2023,1.93
JPY,9/30/2023,9.61
JPY,10/31/2023,8.91
JPY,11/30/2023,4.17
JPY,12/31/2023,9.71
JPY,1/31/2024,4.53
JPY,2/29/2024,6.82
JPY,3/31/2024,1.9
JPY,4/30/2024,0.64
JPY,5/31/2024,7.22
JPY,6/30/2024,4.87
JPY,7/31/2024,2.36
JPY,8/31/2024,8.49
JPY,9/30/2024,4.8
JPY,10/31/2024,0.64
JPY,11/30/2024,8.98
JPY,12/31/2024,3.07
JPY,1/31/2025,6.6
JPY,2/28/2025,8.69
JPY,3/31/2025,1.27
JPY,4/30/2025,4.9
