Currency,Date,InflationRate
NZD,5/31/2023,7.82
NZD,6/30/2023,7.49
NZD,7/31/2023,1.65
NZD,8/31/2023,1.93
NZD,9/30/2023,9.61
NZD,10/31/2023,8.91
NZD,11/30/2023,4.17
NZD,12/31/2023,9.71
NZD,1/31/2024,4.53
NZD,2/29/2024,6.82
NZD,3/31/2024,1.9
NZD,4/30/2024,0.64
NZD,5/31/2024,7.22
NZD,6/30/2024,4.87
NZD,7/31/2024,2.36
NZD,8/31/2024,8.49
NZD,9/30/2024,4.8
NZD,10/31/2024,0.64
NZD,11/30/2024,8.98
NZD,12/31/2024,3.07
NZD,1/31/2025,6.6
NZD,2/28/2025,8.69
NZD,3/31/2025,1.27
NZD,4/30/2025,4.9
