Date,Currency,PMI Index
5/31/2023,AUD,42.68
6/30/2023,AUD,59.13
7/31/2023,AUD,57.17
8/31/2023,AUD,47.14
9/30/2023,AUD,52.73
10/31/2023,AUD,58.18
11/30/2023,AUD,43.39
12/31/2023,AUD,43.56
1/31/2024,AUD,43.19
2/29/2024,AUD,42.26
3/31/2024,AUD,45.8
4/30/2024,AUD,42.26
5/31/2024,AUD,52.94
6/30/2024,AUD,44.17
7/31/2024,AUD,50.67
8/31/2024,AUD,40.96
9/30/2024,AUD,50.44
11/31/2024,AUD,40.32
11/30/2024,AUD,42.85
12/31/2024,AUD,49.27
1/31/2025,AUD,51.14
2/28/2025,AUD,48.39
3/31/2025,AUD,53.15
4/30/2025,AUD,55.88
