Date,Currency,PMI Index
5/31/2023,CAD,42.68
6/30/2023,CAD,59.13
7/31/2023,CAD,57.17
8/31/2023,CAD,47.14
9/30/2023,CAD,52.73
10/31/2023,CAD,58.18
11/30/2023,CAD,43.39
12/31/2023,CAD,43.56
1/31/2024,CAD,43.19
2/29/2024,CAD,42.26
3/31/2024,CAD,45.8
4/30/2024,CAD,42.26
5/31/2024,CAD,52.94
6/30/2024,CAD,44.17
7/31/2024,CAD,50.67
8/31/2024,CAD,40.96
9/30/2024,CAD,50.44
11/31/2024,CAD,40.32
11/30/2024,CAD,42.85
12/31/2024,CAD,49.27
1/31/2025,CAD,51.14
2/28/2025,CAD,48.39
3/31/2025,CAD,53.15
4/30/2025,CAD,55.88
