Date,Currency,InflationRate
5/31/2023,EUR,7.82
6/30/2023,EUR,7.49
7/31/2023,EUR,1.65
8/31/2023,EUR,1.93
9/30/2023,EUR,9.61
10/31/2023,EUR,8.91
11/30/2023,EUR,4.17
12/31/2023,EUR,9.71
1/31/2024,EUR,4.53
2/29/2024,EUR,6.82
3/31/2024,EUR,1.9
4/30/2024,EUR,0.64
5/31/2024,EUR,7.22
6/30/2024,EUR,4.87
7/31/2024,EUR,2.36
8/31/2024,EUR,8.49
9/30/2024,EUR,4.8
10/31/2024,EUR,0.64
11/30/2024,EUR,8.98
12/31/2024,EUR,3.07
1/31/2025,EUR,6.6
2/28/2025,EUR,8.69
3/31/2025,EUR,1.27
4/30/2025,EUR,4.9
