Date,Currency,InflationRate
5/31/2023,USD,7.82
6/30/2023,USD,7.49
7/31/2023,USD,1.65
8/31/2023,USD,1.93
9/30/2023,USD,9.61
10/31/2023,USD,8.91
11/30/2023,USD,4.17
12/31/2023,USD,9.71
1/31/2024,USD,4.53
2/29/2024,USD,6.82
3/31/2024,USD,1.9
4/30/2024,USD,0.64
5/31/2024,USD,7.22
6/30/2024,USD,4.87
7/31/2024,USD,2.36
8/31/2024,USD,8.49
9/30/2024,USD,4.8
10/31/2024,USD,0.64
11/30/2024,USD,8.98
12/31/2024,USD,3.07
1/31/2025,USD,6.6
2/28/2025,USD,8.69
3/31/2025,USD,1.27
4/30/2025,USD,4.9
