Date,Country,Interest Rate (%)
5/31/2023,USD,4.59
6/30/2023,USD,2.93
7/31/2023,USD,3.74
8/31/2023,USD,4.12
9/30/2023,USD,0.28
10/31/2023,USD,3.85
11/30/2023,USD,1.79
12/31/2023,USD,2.27
1/31/2024,USD,4.34
2/29/2024,USD,4.27
3/31/2024,USD,0.21
4/30/2024,USD,1.26
5/31/2024,USD,3.15
6/30/2024,USD,0.93
7/31/2024,USD,2.94
8/31/2024,USD,3.85
9/30/2024,USD,3.19
10/31/2024,USD,1.27
11/30/2024,USD,1.81
12/31/2024,USD,2.95
1/31/2025,USD,4.44
2/28/2025,USD,4.68
3/31/2025,USD,2.63
4/30/2025,USD,1.46
