Date,Currency,PMI Index
2023-05-31,EUR,56.17
2023-05-31,AUD,50.92
2023-05-31,CHF,48.13
2023-05-31,GBP,52.72
2023-05-31,CAD,51.24
2023-05-31,JPY,55.74
2023-05-31,USD,46.36
2023-05-31,NZD,54.63
2023-06-30,EUR,54.97
2023-06-30,AUD,52.87
2023-06-30,CHF,50.31
2023-06-30,GBP,57.8
2023-06-30,CAD,45.39
2023-06-30,JPY,48.57
2023-06-30,USD,53.4
2023-06-30,NZD,48.89
2023-07-31,EUR,58.52
2023-07-31,AUD,51.57
2023-07-31,CHF,57.63
2023-07-31,GBP,49.33
2023-07-31,CAD,49.67
2023-07-31,JPY,53.83
2023-07-31,USD,52.9
2023-07-31,NZD,52.77
2023-08-31,EUR,59.08
2023-08-31,AUD,58.82
2023-08-31,CHF,53.13
2023-08-31,GBP,50.28
2023-08-31,CAD,53.78
2023-08-31,JPY,49.46
2023-08-31,USD,53.4
2023-08-31,NZD,46.98
2023-09-30,EUR,54.18
2023-09-30,AUD,49.46
2023-09-30,CHF,50.82
2023-09-30,GBP,53.76
2023-09-30,CAD,49.33
2023-09-30,JPY,54.99
2023-09-30,USD,55.66
2023-09-30,NZD,49.73
2023-10-31,EUR,53.19
2023-10-31,AUD,51.74
2023-10-31,CHF,49.78
2023-10-31,GBP,55.63
2023-10-31,CAD,50.78
2023-10-31,JPY,46.98
2023-10-31,USD,51.75
2023-10-31,NZD,48.83
2023-11-30,EUR,48.33
2023-11-30,AUD,53.93
2023-11-30,CHF,55.93
2023-11-30,GBP,45.27
2023-11-30,CAD,57.29
2023-11-30,JPY,52.54
2023-11-30,USD,52.78
2023-11-30,NZD,59.76
2023-12-31,EUR,52.97
2023-12-31,AUD,46.02
2023-12-31,CHF,50.65
2023-12-31,GBP,47.19
2023-12-31,CAD,54.86
2023-12-31,JPY,57.38
2023-12-31,USD,58.67
2023-12-31,NZD,57.8
2024-01-31,EUR,55.92
2024-01-31,AUD,51.39
2024-01-31,CHF,45.02
2024-01-31,GBP,52.5
2024-01-31,CAD,52.65
2024-01-31,JPY,45.87
2024-01-31,USD,56.96
2024-01-31,NZD,53.07
2024-02-29,EUR,49.82
2024-02-29,AUD,49.18
2024-02-29,CHF,52.78
2024-02-29,GBP,55.85
2024-02-29,CAD,56.09
2024-02-29,JPY,50.65
2024-02-29,USD,49.39
2024-02-29,NZD,53.28
2024-03-31,EUR,52.83
2024-03-31,AUD,51.25
2024-03-31,CHF,57.64
2024-03-31,GBP,46.71
2024-03-31,CAD,54.33
2024-03-31,JPY,58.9
2024-03-31,USD,48.21
2024-03-31,NZD,55.96
2024-04-30,EUR,52.01
2024-04-30,AUD,52.3
2024-04-30,CHF,47.79
2024-04-30,GBP,47.88
2024-04-30,CAD,55.88
2024-04-30,JPY,47.38
2024-04-30,USD,50.31
2024-04-30,NZD,55.55
2024-05-31,EUR,55.17
2024-05-31,AUD,59.82
2024-05-31,CHF,49.28
2024-05-31,GBP,46.66
2024-05-31,CAD,48.58
2024-05-31,JPY,51.53
2024-05-31,USD,48.73
2024-05-31,NZD,55.01
2024-06-30,EUR,52.23
2024-06-30,AUD,55.91
2024-06-30,CHF,50.43
2024-06-30,GBP,57.0
2024-06-30,CAD,47.66
2024-06-30,JPY,51.52
2024-06-30,USD,59.02
2024-06-30,NZD,55.35
2024-07-31,EUR,57.97
2024-07-31,AUD,47.68
2024-07-31,CHF,56.82
2024-07-31,GBP,52.98
2024-07-31,CAD,45.14
2024-07-31,JPY,49.22
2024-07-31,USD,53.16
2024-07-31,NZD,52.62
2024-08-31,EUR,46.72
2024-08-31,AUD,46.39
2024-08-31,CHF,48.5
2024-08-31,GBP,48.34
2024-08-31,CAD,49.72
2024-08-31,JPY,51.84
2024-08-31,USD,46.64
2024-08-31,NZD,47.04
2024-09-30,EUR,54.06
2024-09-30,AUD,56.98
2024-09-30,CHF,54.9
2024-09-30,GBP,49.89
2024-09-30,CAD,45.25
2024-09-30,JPY,55.29
2024-09-30,USD,45.45
2024-09-30,NZD,51.41
2024-10-31,EUR,46.98
2024-10-31,AUD,56.46
2024-10-31,CHF,58.47
2024-10-31,GBP,52.94
2024-10-31,CAD,56.85
2024-10-31,JPY,54.61
2024-10-31,USD,49.14
2024-10-31,NZD,46.76
2024-11-30,EUR,47.36
2024-11-30,AUD,49.42
2024-11-30,CHF,53.53
2024-11-30,GBP,57.2
2024-11-30,CAD,53.91
2024-11-30,JPY,48.11
2024-11-30,USD,56.86
2024-11-30,NZD,56.97
2024-12-31,EUR,57.96
2024-12-31,AUD,47.22
2024-12-31,CHF,48.92
2024-12-31,GBP,55.83
2024-12-31,CAD,57.63
2024-12-31,JPY,45.56
2024-12-31,USD,57.85
2024-12-31,NZD,45.89
2025-01-31,EUR,46.4
2025-01-31,AUD,47.17
2025-01-31,CHF,59.68
2025-01-31,GBP,50.54
2025-01-31,CAD,51.17
2025-01-31,JPY,52.24
2025-01-31,USD,50.93
2025-01-31,NZD,45.58
2025-02-28,EUR,52.44
2025-02-28,AUD,53.91
2025-02-28,CHF,54.91
2025-02-28,GBP,59.41
2025-02-28,CAD,59.39
2025-02-28,JPY,51.11
