Date,Broker Name,Currency Pair,Buy Orders,Sell Orders
3/3/2025,FXCM,EUR/USD,1245,987
3/3/2025,Pepperstone,EUR/USD,1156,1042
3/3/2025,IG,EUR/USD,1327,793
3/3/2025,OANDA,USD/CHF,945,843
3/3/2025,Pepperstone,USD/CHF,1008,853
3/3/2025,IG,USD/CHF,945,1293
3/3/2025,FXCM,USD/JPY,1052,920
3/3/2025,OANDA,USD/JPY,1010,731
3/3/2025,IG,USD/JPY,1226,946
3/3/2025,Pepperstone,GBP/USD,1499,885
3/3/2025,OANDA,GBP/USD,865,1012
3/3/2025,FXCM,GBP/USD,1215,1085
3/3/2025,OANDA,AUD/USD,943,891
3/3/2025,FXCM,AUD/USD,882,1119
3/3/2025,Pepperstone,AUD/USD,1208,1119
3/3/2025,FXCM,EUR/JPY,1005,1169
3/3/2025,IG,EUR/JPY,1138,896
3/3/2025,Pepperstone,EUR/JPY,1151,1395
3/3/2025,IG,NZD/USD,1318,1192
3/3/2025,FXCM,NZD/USD,889,920
3/3/2025,Pepperstone,NZD/USD,864,1076
3/3/2025,OANDA,EUR/GBP,1224,1297
3/3/2025,IG,EUR/GBP,907,1122
3/3/2025,Pepperstone,EUR/GBP,862,1245
3/3/2025,IG,USD/CAD,1234,780
3/3/2025,OANDA,USD/CAD,1041,1002
3/3/2025,Pepperstone,USD/CAD,1062,1024
3/3/2025,IG,GBP/JPY,1293,1316
3/3/2025,Pepperstone,GBP/JPY,966,929
3/3/2025,FXCM,GBP/JPY,1102,1117
3/9/2025,FXCM,EUR/USD,822,907
3/9/2025,Pepperstone,EUR/USD,804,1103
3/9/2025,IG,EUR/USD,1050,1048
3/9/2025,OANDA,USD/CHF,1174,806
3/9/2025,IG,USD/CHF,1045,1002
3/9/2025,Pepperstone,USD/CHF,1112,1081
3/9/2025,FXCM,USD/JPY,1257,770
3/9/2025,OANDA,USD/JPY,1275,1298
3/9/2025,IG,USD/JPY,873,1001
3/9/2025,Pepperstone,GBP/USD,1045,1180
3/9/2025,OANDA,GBP/USD,1055,1349
3/9/2025,FXCM,GBP/USD,887,1305
3/9/2025,IG,AUD/USD,1224,1235
3/9/2025,OANDA,AUD/USD,1205,1373
3/9/2025,Pepperstone,AUD/USD,1083,1016
3/9/2025,FXCM,EUR/JPY,1391,1135
3/9/2025,IG,EUR/JPY,1414,1249
3/9/2025,Pepperstone,EUR/JPY,820,1040
3/9/2025,IG,NZD/USD,1491,946
3/9/2025,FXCM,NZD/USD,1215,1180
3/9/2025,Pepperstone,NZD/USD,960,1108
3/9/2025,OANDA,EUR/GBP,984,909
3/9/2025,IG,EUR/GBP,1389,916
3/9/2025,Pepperstone,EUR/GBP,1393,1134
3/9/2025,IG,USD/CAD,1400,740
3/9/2025,OANDA,USD/CAD,1202,881
3/9/2025,Pepperstone,USD/CAD,1005,1222
3/9/2025,IG,GBP/JPY,1084,1279
3/9/2025,Pepperstone,GBP/JPY,872,1163
3/9/2025,OANDA,GBP/JPY,1056,1127
